pl_name,category,etc_version,etc_git_sha,sy_vmag,st_teff,pl_trandur,req_nuv,req_vis,req_nir,NUV_median_snr,VIS_median_snr,NIR_snr,n_transits_needed,t_need_h,vis_waltzer_year,vis_days
V1298 Tau d,K/M host (Teff<5200K),0.3.5,858bd57,10.12,4970.0,5.57,20.0,100.0,30.0,19.37765638275336,498.8260422370813,35291.89266278932,2.0,11.14,0917-0202,139
HAT-P-11 b,K/M host (Teff<5200K),0.3.5,858bd57,9.46,4653.0,2.36386,20.0,100.0,30.0,0.8208730355523056,545.2078546087316,63221.8055884357,594.0,1404.13284,0714-0915,64
KELT-9 b,Massive/hot host (Teff≥10000K),0.3.5,858bd57,7.55,10170.0,3.91584,50.0,100.0,30.0,813.6022733321522,1255.0085156423584,52936.130959868075,1.0,3.91584,0628-1013,108
TOI-5108 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.75,5808.0,2.2,20.0,200.0,30.0,28.018600088304087,365.47842388250024,25000.4802030233,1.0,2.2,1226-0514,140
WASP-18 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.28,6432.0,2.21,20.0,200.0,30.0,51.476875785264966,448.439061338895,30326.872276679347,1.0,2.21,0724-1118,118
WASP-74 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.75,5990.0,2.292,20.0,200.0,30.0,37.620519560508384,366.18446252245303,24177.307886513696,1.0,2.292,0520-1009,143
TOI-1789 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.721,5991.0,2.3,20.0,200.0,30.0,38.489443078561514,371.877209801057,24596.063294625907,1.0,2.3,1130-0416,138
TOI-677 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.822,6295.0,2.535,20.0,200.0,30.0,37.56163053274095,372.22876469326457,24466.002917357106,1.0,2.535,0128-0505,98
WASP-14 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.745,6475.0,2.817,20.0,200.0,30.0,41.85939498971459,406.92180133407055,26875.147993454637,1.0,2.817,0212-0624,133
WASP-95 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,10.092,5830.0,2.82464,20.0,200.0,30.0,24.30514977464706,352.20785479196377,23575.237610561864,1.0,2.82464,0606-1018,135
HAT-P-1 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.827,5980.0,2.85,20.0,200.0,30.0,39.683704817509415,393.7464646984246,25872.00331090802,1.0,2.85,0725-1129,128
TOI-4603 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.24,6264.0,2.854,20.0,200.0,30.0,60.14175947335846,519.2335369012935,35172.83069191379,1.0,2.854,1008-0223,139
XO-3 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.854,6429.0,2.872,20.0,200.0,30.0,39.04916178929575,390.2474959338238,25597.061317860283,1.0,2.872,1003-0208,129
HD 209458 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,7.65,6091.0,2.958,20.0,200.0,30.0,160.01961287922467,1106.0773216963155,77650.01047743623,1.0,2.958,0626-1110,138
KELT-3 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.816,6304.0,3.0391,20.0,200.0,30.0,41.304866270696735,408.71948356800266,26874.80926618656,1.0,3.0391,1202-0414,134
DS Tuc A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.17,5428.0,3.1764,20.0,200.0,30.0,65.63148820843799,937.3941750086478,70709.28863889132,1.0,3.1764,0613-0925,105
HD 149026 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.15,6179.0,3.19,20.0,200.0,30.0,124.94210445681752,911.4080695830066,63566.88877636838,1.0,3.19,0328-0705,100
KELT-4 A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.98,6206.0,3.46272,20.0,200.0,30.0,38.92632771834663,403.66859124128393,26248.548442644384,1.0,3.46272,1213-0429,138
WASP-166 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.351,6050.0,3.6,20.0,200.0,30.0,62.52155065375592,553.6289099007072,37325.50102135591,1.0,3.6,1222-0502,132
WASP-7 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.504,6400.0,3.7071,20.0,200.0,30.0,57.108739374001715,522.8925857639464,34998.3095372525,1.0,3.7071,0516-1005,143
