proposer,pl_name,pl_trandur,pl_orbper,pl_radj,pl_bmassj,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_vmag
SDT,HAT-P-60 b,5.035,4.7947813,1.631,0.574,1772.0,0.06277,6212.0,2.197,1.435,28.2825719,52.0539209,9.727
SDT,WASP-14 b,2.817,2.24375,1.38,8.84,1872.0,0.037,6475.0,1.4,1.62,218.2766247,21.8946875,9.745
SDT,WASP-74 b,2.292,2.13775,1.36,0.72,1887.5,0.035715,5990.0,1.42,0.98,304.538843,-1.0760033,9.75
SDT,TOI-5108 b,2.2,6.753581,0.58881358,0.10068326,1180.0,0.073,5808.0,1.29,1.1,166.2695041,11.2464069,9.75
SDT,HAT-P-22 b,2.7617,3.21222,1.15,2.47,1288.0,0.04141,5302.0,1.11,1.13,155.6814593,50.1287115,9.763
SDT,HAT-P-69 b,5.1264,4.7869491,1.676,3.58,1930.0,0.06555,7394.0,1.926,1.648,130.5056385,3.7105662,9.774
SDT,WASP-8 b,4.288,8.15872,1.13,2.54,1004.5,0.0801,5600.0,1.03,1.34,359.9008737,-35.0313349,9.789
SDT,LTT 9779 b,0.466,0.792052,0.4210902,0.09225057,1978.0,0.01679,5443.0,0.949,1.02,358.6688767,-37.6282237,9.79
SDT,KOI-13 b,3.18137,1.763588,1.512,9.28,2550.0,0.03641,7650.0,1.74,1.72,286.9713876,46.8682463,9.791
SDT,HD 219666 b,2.158,6.034468,0.437,0.055,1076.0,0.06356,5540.0,1.059,1.02,349.5592665,-56.9039857,9.809
SDT,TOI-1842 b,4.3070829,9.5739181,1.10166148,0.28128386,1199.55,0.1,6039.0,2.032,1.4643,201.9626552,9.0306437,9.815
SDT,KELT-3 b,3.0391,2.70339,1.56,1.94,1803.0,0.041225,6304.0,1.7,1.96,148.6431193,40.3879446,9.816
SDT,TOI-677 b,2.535,11.2365985,1.17,1.234,971.0,0.1041,6295.0,1.28,1.181,144.1193594,-50.4630933,9.822
SDT,K2-232 b,5.19208,11.168454,1.0,0.398,1030.0,0.10356,6154.0,1.161,1.188,73.7667927,18.654323,9.822
SDT,HAT-P-1 b,2.85,4.46529976,1.319,0.525,1322.0,0.05561,5980.0,1.174,1.151,344.4453632,38.674919,9.827
SDT,XO-3 b,2.872,3.19154,1.41,7.29,1677.5,0.045395,6429.0,1.54,0.58,65.4695814,57.8172095,9.854
SDT,KELT-19 A b,4.3944,4.6117093,1.91,4.07,1935.0,0.0637,7500.0,1.83,1.62,111.5095293,7.6157759,9.857
SDT,TOI-2005 b,2.249,17.305904,1.07,6.4,1221.39,0.16,7130.0,2.02,1.59,164.031654,-43.3766967,9.867
SDT,WASP-69 b,2.1869,3.86813881,1.0,0.26,971.0,0.0453,4792.0,0.801,0.83,315.0259661,-5.094857,9.873
SDT,TOI-6038 A b,5.042,5.8267311,0.57186288,0.24698862,1439.0,0.069,6110.0,1.648,1.291,51.6572691,40.8172704,9.913
SDT,TOI-421 c,2.755,16.067541,0.45410017,0.04436356,635.0,0.117,5291.0,0.866,0.833,81.8532824,-14.2767404,9.931
SDT,WASP-178 b,3.4704,3.3448285,1.81,1.66,2470.0,0.0558,9360.0,1.67,2.07,227.270329,-42.7049658,9.946
SDT,TOI-4551 b,10.474,9.95581,1.058,1.49,1655.0,0.0994,4896.0,3.55,1.31,184.9787579,-25.8278531,9.973
SDT,WASP-136 b,5.52118605,5.215357,1.38,1.51,1706.6,0.0661,6250.0,2.2,1.41,0.325761,-8.9262512,9.974
SDT,KELT-4 A b,3.46272,2.9895932,1.699,0.902,1823.0,0.04317,6206.0,1.603,1.201,157.06262,25.5731366,9.98
SDT,HAT-P-14 b,2.2044,4.62767,1.42,3.44,1596.5,0.06061,6600.0,1.82,2.65,260.1161719,38.2421682,9.988
SDT,WASP-79 b,3.816,3.662392,1.53,0.85,1716.2,0.0519,6600.0,1.51,1.39,66.3709016,-30.6004362,10.044
SDT,WASP-94 A b,4.466,3.95019,1.58,0.5,1587.0,0.0552,6170.0,1.48,1.67,313.7832393,-34.1357512,10.051
SDT,TOI-5398 b,4.258,10.590547,0.91890603,0.18469085,947.0,0.098,6000.0,1.051,1.146,161.8795569,36.3294345,10.059
SDT,WASP-131 b,3.845,5.3220125,1.226,0.273,1446.285,0.0608,5990.0,1.561,1.06,210.1935714,-30.5836084,10.068
SDT,WASP-82 b,4.9848,2.70579,1.62,1.17,2190.0,0.04475,6480.0,2.1,1.48,72.6605916,1.8938365,10.073
SDT,WASP-95 b,2.82464,2.18467,1.23,1.44,1559.72,0.034155,5830.0,1.23,1.46,337.4578243,-48.0030988,10.092
Hritam C,V1298 Tau b,6.45,24.140006,0.84,0.041,666.0,0.1685,4970.0,1.32,1.1,61.3316547911,20.1570295577,10.12
Hritam C,V1298 Tau c,4.89,8.249164,0.45,0.014,953.0,0.0824,4970.0,1.32,1.1,61.3316547911,20.1570295577,10.12
Hritam C,V1298 Tau d,5.57,12.401394,0.53,0.019,831.0,0.1081,4970.0,1.32,1.1,61.3316547911,20.1570295577,10.12
Hritam C,V1298 Tau e,7.56,48.677714,0.91,0.048,527.0,0.2689,4970.0,1.32,1.1,61.3316547911,20.1570295577,10.12
Hritam C,HIP 67522 b,4.87,6.959467,0.91,0.043,1175.0,0.074,5675.0,1.38,1.22,207.5259956189,-40.8358991797,9.79
Hritam C,HIP 67522 c,5.66,14.334887,0.69,0.028,917.0,0.12,5675.0,1.38,1.22,207.5259956189,-40.8358991797,9.79
