tmass_id,source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,ruwe,teff_gspphot,Assoc,assoc_age_myr,v_est,distance_pc
16271027-2419127,6049152267490979072,12.656549,2.9316225,7.329848158117272,241.89397,1.1408054,,ROPH,1.0,13.02739396070139,136.42847415503047
16272873-2454317,6049053143941850496,15.833167,3.1728115,8.58903811721631,161.44131,1.1015662,3284.736,ROPH,1.0,16.151393242773786,116.42747259388086
16270931-2443196,6049071453386664448,20.768488,2.4813423,,,,,ROPH,1.0,21.168904574025753,
16261706-2420216,6049165706444676992,12.97907,2.5557642,7.39367581810602,371.862,0.89114416,5366.6636,ROPH,1.0,13.379975771578572,135.25072299642184
16273084-2447268,6049067849909782272,17.775276,4.6078434,7.051983410056515,27.045557,1.4903426,,ROPH,1.0,17.01540073783757,141.80407721520518
16255965-2421223,6049142341822614656,14.632359,4.005024,7.673358525820368,85.41139,1.7106667,,ROPH,1.0,14.509614033221876,130.32103174054268
16284527-2428190,6049102961266075392,12.200583,2.5015078,8.66027742245787,15.225335,30.87122,,ROPH,1.0,12.601321454444122,115.46974204392062
16263297-2400168,6049365336524897152,15.735725,3.797515,7.252819716849955,124.9566,1.0010608,3485.2979,ROPH,1.0,15.765727645296659,137.87741030936863
16012563-2240403,6243197588558179968,11.232408,1.4744568,7.059105068062549,297.92917,1.5416204,4987.4863,USCO,10.0,11.489665152636515,141.66101656770795
16131858-2212489,6242687277719794176,10.067775,1.4074507,7.240716055355257,154.24745,2.9326653,,USCO,10.0,10.310270678167496,138.10788772201568
15562477-2225552,6237457553741894016,15.185588,3.2242908,7.0235799958388965,180.3188,1.1242291,,USCO,10.0,15.48874735177805,142.37753404851196
15570641-2206060,6243485282644929408,15.713498,3.3749714,6.880667486122658,145.25966,1.1398453,,USCO,10.0,15.964182480367135,145.33473707556132
16042165-2130284,6243393817024157184,11.711969,1.6253414,6.881876656734142,255.5995,1.7541873,4759.9883,USCO,10.0,12.001366220201456,145.30920123676836
16035793-1942108,6247222213430964608,14.30029,2.6602764,6.485711026900547,227.8762,1.2206438,3559.0876,USCO,10.0,14.698521316844417,154.18509949831815
16015976-1952202,6247168646599736064,15.990989,3.5813074,9.178487512472056,119.7366,1.2214013,,USCO,10.0,16.148183131844373,108.95041243354794
23581764-8626241,6343364815827362688,9.768649,0.9619961,8.920234347438342,184.23279,4.950409,5186.9146,OCT,35.0,9.912308159104402,112.10467808922239
17172550-6657039,5811866422581688320,6.4607205,0.99793816,32.95106066892252,1791.129,1.0609413,,BPMG,24.0,6.6120779800908425,30.34803674599587
21520973-6203085,6408937971321777152,7.1108274,0.63565683,21.385177819039555,1443.9637,0.8527999,6262.96,THA,45.0,7.190992858474502,46.76136006265445
14552673-5129013,5901055271097855360,10.322629,0.8956785,7.796018897724781,202.26628,2.0051632,5861.1196,UCL,16.0,10.452370072808652,128.27059722646948
14415577-4723174,5905821894507108864,2.3246517,0.23071337,,,,,UCL,16.0,2.3524904533389943,
15350842-4110003,6002777448330124160,3.4685807,-0.24148607,,,,,UCL,16.0,3.495270167062867,
15191600-4056075,6004331775495542656,10.95242,1.2199268,7.648897412007708,409.9086,1.0605205,4923.918,UCL,16.0,11.152892716539467,130.73779737588566
16054499-3906065,5997820952989718528,10.192184,1.0141697,7.465180350231397,350.82724,0.9954616,5144.761,UCL,16.0,10.347049675174775,133.95523658969648
16524171-3845372,5970083023432617344,8.748213,0.6230335,6.251330522784369,71.492455,4.1608973,6450.3486,UCL,16.0,8.82622754712526,159.96594586628828
18453485-3750195,6730127303744818816,9.341471,0.9642763,6.60973486771187,103.893135,2.8069918,,UCRA,10.0,9.485615175311791,151.2919988492936
15230935-3651305,6007671683806540288,4.513188,-0.21357298,6.485535178711813,28.86119,2.038923,15114.565,UCL,16.0,4.537669757696106,154.18928005855403
16135801-3618133,6022499010422921088,10.763758,1.0769405,7.9850308913721655,465.272,1.048591,5582.216,UCL,16.0,10.93234471545819,125.23433078768689
16145918-2750230,6042205763488144768,10.851258,1.2092161,6.668379638328555,431.01697,1.0369081,5081.194,USCO,10.0,11.049324711970101,149.9614680382313
16253958-2426349,6049140142799358592,19.30284,,,,,,ROPH,1.0,,
16253958-2426349,6049140142798016384,17.31071,3.9581814,5.63959614998846,15.437687,2.575291,,ROPH,1.0,17.225202517024947,177.31766130134093
16255052-2439145,6049116846896669824,13.686033,3.0305586,7.177095804080782,332.06787,1.2531404,,ROPH,1.0,14.038751780376916,139.33212364692358
16262367-2443138,6049118388788178816,12.765257,2.5832348,7.2379376251413525,168.74847,2.1418757,,ROPH,1.0,13.165850255408492,138.16090325598387
16271448-2451334,6049065307289238528,14.80833,3.161748,7.361996201226287,201.34097,1.0634363,3419.6719,ROPH,1.0,15.129610307156712,135.8327242594108
16264705-2444298,6049070736127902208,16.840027,4.5707903,7.102380396903212,54.08014,1.028762,3581.6772,ROPH,1.0,16.128356630854594,140.79786552069518
16253673-2415424,6049331526542488064,14.879959,3.4622536,6.918318918202941,75.724915,2.4505835,,ROPH,1.0,15.094261193910969,144.54378467128453
16260931-2434121,6049123615765201536,10.976783,2.3540802,7.1447790870207895,214.62059,1.2796786,,ROPH,1.0,11.372108399438803,139.9623400276435
16282333-2422405,6049107569767351680,16.671652,3.4437819,6.811635844856902,69.40128,1.3159121,3585.2754,ROPH,1.0,16.89403269895894,146.8076131455333
16274978-2425219,6049152649744764160,18.825785,4.7438354,6.370984514558645,10.727497,1.0398192,,ROPH,1.0,17.878038006305516,156.96161208912872
15535586-2358410,6237015550067390592,5.3605905,-0.004181385,6.989905661958421,94.55263,0.9080047,14635.776,USCO,10.0,5.37816480519292,143.06344725685776
16273901-2358187,6050679321639383680,13.256007,2.6554651,7.064637542000319,356.9931,1.2878499,7497.168,ROPH,1.0,13.654451614270169,141.5500786919147
16273833-2404013,6050675438988944896,14.90976,3.3978329,7.241031026825658,182.27652,1.037895,7998.9287,ROPH,1.0,15.151351541526418,138.10188028408194
16084371-2341075,6242058872466158848,5.8399243,0.0586977,6.476159566892918,35.20664,2.6933658,11645.965,USCO,10.0,5.858514474215871,154.41250167956753
15564785-2311026,6237347499499399808,7.708791,0.28806114,6.990085512987473,216.10643,1.0497249,9964.828,USCO,10.0,7.741642731844009,143.0597663135902
16124410-1930102,6245694751258010752,7.5390706,0.27131748,7.278193641117863,224.1261,0.93816537,,USCO,10.0,7.570365745436564,137.3967290936779
16082324-1930009,6245739521996902272,13.129877,2.221818,7.255978594052163,318.7567,1.2629519,3770.2612,USCO,10.0,13.514748039322303,137.8173856273109
15581136-1416454,6263223955904774656,4.74231,-0.015044689,7.153974355017655,58.753014,0.8626063,13352.297,USCO,10.0,4.7598461992909575,139.7824412521999
23323085-1215513,2433191886212246784,9.827414,2.028202,36.42678711034075,1670.9003,1.1301576,,BPMG,24.0,10.188799817403813,27.452325042307187
