dist_bin_pc,v_bin,teff_bin_k,n
430.0,10.5,5000.0,19
170.0,9.25,4800.0,14
370.0,12.25,5000.0,4
140.0,8.25,4800.0,2
180.0,10.0,4600.0,2
210.0,15.25,3400.0,5
230.0,10.0,4800.0,17
390.0,9.5,5000.0,1
200.0,9.0,5000.0,8
460.0,11.75,5000.0,60
190.0,9.75,4600.0,1
340.0,9.75,5000.0,14
170.0,8.75,4800.0,3
230.0,9.75,5000.0,26
490.0,13.0,4800.0,8
180.0,14.75,3400.0,4
270.0,11.0,5000.0,15
280.0,10.0,4600.0,1
180.0,10.75,4800.0,1
330.0,13.0,5000.0,1
380.0,12.75,5000.0,2
250.0,9.75,5000.0,31
260.0,12.0,5000.0,1
300.0,11.25,5000.0,13
400.0,10.75,5000.0,40
50.0,13.25,3000.0,1
120.0,14.5,3200.0,1
370.0,11.75,4600.0,1
270.0,9.75,4600.0,1
220.0,9.0,4800.0,6
350.0,10.5,4800.0,38
200.0,9.5,5000.0,16
210.0,9.0,4800.0,3
470.0,15.25,5000.0,1
70.0,7.25,4800.0,4
480.0,14.25,5000.0,1
200.0,8.75,5000.0,10
390.0,11.0,4600.0,3
100.0,14.5,3200.0,2
340.0,10.75,5000.0,57
460.0,12.0,4800.0,51
490.0,13.5,5000.0,1
420.0,11.25,4800.0,40
120.0,9.25,4800.0,3
230.0,10.25,5000.0,33
340.0,10.5,4600.0,4
190.0,14.5,3600.0,1
240.0,10.5,4600.0,2
330.0,11.5,4600.0,1
310.0,10.5,4600.0,2
30.0,12.5,3200.0,8
120.0,8.25,4800.0,7
340.0,10.75,4800.0,40
390.0,11.5,4800.0,48
270.0,15.75,3400.0,2
260.0,11.5,4800.0,2
80.0,6.75,5000.0,2
110.0,9.0,4800.0,3
20.0,5.25,5000.0,1
300.0,10.0,4600.0,1
330.0,12.25,4800.0,1
230.0,10.75,4800.0,8
470.0,11.5,5000.0,50
110.0,14.25,3400.0,3
150.0,9.0,5000.0,11
320.0,10.5,4800.0,39
50.0,13.25,3200.0,9
440.0,11.5,4600.0,4
470.0,12.5,4800.0,21
160.0,10.0,4800.0,2
110.0,7.5,5000.0,6
440.0,11.5,5000.0,49
340.0,11.5,4800.0,20
310.0,10.75,5000.0,52
130.0,9.75,4800.0,1
460.0,10.5,5000.0,25
40.0,5.5,5000.0,1
330.0,11.25,4600.0,1
150.0,9.5,4600.0,2
160.0,9.0,4800.0,13
430.0,14.5,5000.0,1
30.0,6.25,4800.0,1
60.0,13.0,3400.0,11
470.0,11.75,4800.0,50
160.0,9.75,5000.0,12
440.0,15.25,3600.0,1
450.0,13.0,4600.0,1
430.0,12.75,4800.0,7
280.0,9.5,4800.0,5
270.0,9.75,5000.0,23
300.0,11.5,4800.0,5
430.0,14.25,4800.0,1
240.0,11.25,5000.0,2
70.0,13.25,3200.0,1
390.0,13.0,4800.0,1
210.0,9.5,5000.0,22
10.0,10.5,3000.0,2
470.0,10.25,5000.0,9
410.0,10.5,4800.0,9
480.0,14.0,4800.0,1
270.0,10.0,4600.0,3
70.0,7.5,4800.0,2
390.0,13.75,5000.0,1
490.0,12.25,5000.0,61
260.0,11.5,5000.0,3
400.0,11.0,4600.0,2
170.0,8.25,5000.0,6
280.0,15.5,3400.0,1
390.0,10.0,5000.0,9
210.0,11.0,4800.0,3
150.0,15.0,3400.0,7
470.0,11.75,5000.0,88
150.0,8.25,4800.0,2
70.0,7.0,5000.0,5
130.0,8.25,4800.0,6
490.0,12.5,5000.0,23
310.0,11.25,4800.0,21
100.0,14.0,3400.0,12
410.0,10.5,5000.0,26
130.0,15.75,3000.0,1
150.0,8.5,5000.0,10
430.0,13.75,5000.0,2
180.0,15.75,3400.0,3
180.0,8.5,5000.0,6
290.0,10.0,4600.0,1
250.0,10.75,5000.0,17
250.0,9.0,5000.0,6
300.0,13.25,5000.0,1
220.0,10.0,4800.0,31
380.0,10.5,4800.0,31
30.0,12.0,3000.0,2
90.0,8.75,4800.0,1
330.0,10.5,4800.0,22
260.0,9.5,5000.0,23
40.0,13.75,3000.0,2
430.0,11.75,4600.0,1
260.0,10.75,5000.0,21
140.0,8.75,4800.0,13
320.0,11.75,4800.0,7
210.0,9.25,4800.0,15
150.0,9.0,4800.0,11
40.0,12.75,3000.0,6
380.0,12.25,4200.0,1
300.0,9.75,4800.0,6
160.0,14.0,3600.0,1
310.0,12.75,5000.0,1
160.0,8.5,4800.0,2
190.0,9.75,4800.0,23
370.0,10.75,4600.0,5
290.0,15.5,3400.0,1
440.0,13.25,5000.0,2
70.0,13.5,3400.0,6
40.0,12.25,3000.0,1
120.0,8.25,5000.0,4
170.0,8.5,4800.0,3
370.0,13.75,5000.0,1
470.0,13.0,4800.0,5
400.0,13.5,4800.0,1
430.0,11.25,4800.0,39
340.0,12.0,4800.0,3
280.0,10.25,4600.0,3
280.0,10.75,4600.0,1
160.0,9.25,4800.0,6
410.0,10.75,4800.0,37
130.0,13.75,3400.0,2
40.0,7.25,4800.0,1
330.0,10.25,5000.0,31
120.0,15.25,3000.0,1
280.0,10.5,4800.0,44
210.0,9.5,4600.0,3
300.0,11.25,4800.0,14
370.0,11.75,5000.0,24
290.0,15.25,3400.0,1
420.0,13.0,4800.0,5
230.0,9.5,4600.0,1
270.0,9.75,4800.0,13
470.0,13.5,5000.0,1
320.0,11.0,4800.0,40
470.0,13.75,4800.0,2
270.0,9.0,5000.0,2
410.0,12.5,4800.0,15
300.0,10.25,4600.0,5
450.0,10.5,5000.0,26
380.0,11.0,4600.0,5
300.0,11.0,4600.0,2
490.0,12.75,5000.0,12
330.0,10.75,4600.0,3
430.0,12.5,4600.0,1
380.0,10.75,4600.0,5
390.0,11.25,5000.0,70
160.0,8.0,5000.0,1
450.0,11.5,4800.0,55
400.0,10.75,4800.0,25
130.0,14.0,3400.0,6
400.0,10.5,5000.0,36
440.0,13.0,5000.0,12
260.0,9.25,4800.0,3
200.0,10.0,4600.0,4
