cluster,pl_name,ra_in,dec_in,sy_vmag,st_teff,vis_waltzer_2026,nn_sep_arcsec,nn_dG,crowded_vis,NUV_median_snr,NUV_transit_uncert,VIS_median_snr,VIS_transit_uncert,NIR_snr,NIR_transit_uncert,pl_trandur,st_rad,st_mass,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,nn_source_id,cluster_center_ra,cluster_center_dec,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_max_snr,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_max_snr,NIR_min_flux,NIR_median_flux,NIR_max_flux
M45,Gaia DR3 65287458566524928,56.20099235353907,24.28926774500748,5.458857570944716,11576.751953125,0914-0130,217.58130920053216,5.7521615,False,1583.6389896817034,893.0151199784106,2551.20367892631,554.3318920613488,114062.20516422256,12.398616705129998,2.5,,,Gaia DR3 65287458566524928,65287458566524928,5.4413247,5.419782,5.4410043,-0.021222115,11576.752,3.8951,7.385246890845397,19.84914439143686,-44.96559622643841,0.9633128,65275089060719104,56.65833333333333,24.178055555555556,Gaia DR3 65287458566524928,11576.751953125,,,56.20099235353907,24.28926774500748,5.458857570944716,2.5,3633.055039633861,12992.968101213844,14403.047407039145,896.9987608857722,1738.233765964985,9083.424076754429,21865.549332940645,31685.1230687132,1591.999978810002,2811.7524244346237,4936.715769323258,8979.916800308445,13977.076838433248
M45,Gaia DR3 69812945346809600,56.29068291043696,24.839057004118633,5.658600894814548,11636.8125,0914-0130,258.1308603748987,3.9300737,False,1444.0470485554845,979.3403641437914,2326.863579941673,607.7767405721933,103926.98034435677,13.607761504155809,2.5,,,Gaia DR3 69812945346809600,69812945346809600,5.6404076,5.600362,5.680828,-0.08046627,11636.8125,3.8595,7.222157170572348,20.218136384021552,-46.12398123648605,0.89882505,69819027020489088,56.65833333333333,24.178055555555556,Gaia DR3 69812945346809600,11636.8125,,,56.29068291043696,24.839057004118633,5.658600894814548,2.5,3022.5580311769313,10809.635321987143,11982.765506892958,817.4380832283778,1585.0927910409762,7557.049396242269,18191.27181432288,26360.768597059367,1451.874492302805,2564.5278382397205,4107.152171773761,7470.935438073722,11628.374849680533
M45,Gaia DR3 66453490649681280,57.431468357888065,23.711649593760512,6.176860756334439,10090.47265625,0914-0130,96.46527703128088,5.1938214,False,1136.2414298380172,1244.6417858348166,1832.4240048121085,771.7720127324488,81544.1018458279,17.34292892264472,2.5,,,Gaia DR3 66453490649681280,66453490649681280,6.1591687,6.129117,6.178773,-0.049655914,10090.473,3.8918,7.46248486399861,17.868504681193286,-45.57243824211501,1.0356296,66452769091505024,56.65833333333333,24.178055555555556,Gaia DR3 66453490649681280,10090.47265625,,,57.431468357888065,23.711649593760512,6.176860756334439,2.5,1875.299782190103,6706.6724793315725,7434.523113642758,641.7930740378968,1247.4452941913275,4688.655417231063,11286.495650135535,16355.13465697804,1142.9822088279486,2019.663534907688,2548.2195854317024,4635.22733236676,7214.646864642539
M45,Gaia DR3 66715105696289024,56.837760020213594,24.116067483641807,6.316509521054223,10292.97265625,0914-0130,85.47666239017603,1.9450722,False,1065.0627887123028,1327.8217747921956,1718.156053447328,823.0996011890776,76358.45055709466,18.520721047314343,2.5,,,Gaia DR3 66715105696289024,66715105696289024,6.29883,6.2923536,6.2829795,0.009374142,10292.973,3.9139,7.199902345703015,20.344160878448307,-45.07643568357508,1.157944,66715273197982848,56.65833333333333,24.178055555555556,Gaia DR3 66715105696289024,10292.97265625,,,56.837760020213594,24.116067483641807,6.316509521054223,2.5,1648.9640873808298,5897.223563545443,6537.227667611848,601.1161486669491,1169.375705379942,4122.76718343577,9924.293798892366,14381.183184556285,1071.5781466371072,1893.745624645244,2240.667131219976,4075.787498355296,6343.888958935662
M45,Gaia DR3 66786505232432512,56.51218035590119,24.527697326214305,6.44279813939402,10877.845703125,0914-0130,150.5367679285594,5.9890146,False,1004.4962371838706,1407.8833847480375,1620.953420381711,872.4578662106579,71941.93132980872,19.65770915837401,2.5,,,Gaia DR3 66786505232432512,66786505232432512,6.4252644,6.4090815,6.425955,-0.01687336,10877.846,4.0141,7.423127367767808,19.582296508324045,-44.877584847283686,0.78916544,66799763794633856,56.65833333333333,24.178055555555556,Gaia DR3 66786505232432512,10877.845703125,,,56.51218035590119,24.527697326214305,6.44279813939402,2.5,1467.897564660293,5249.6717020292635,5819.399371007115,566.4790474032707,1102.9497126508754,3670.0616796568697,8834.544554276214,12802.03973821798,1010.830643927856,1786.6343726102875,1994.627930530882,3628.2406564788134,5647.2904562089025
M45,Gaia DR3 66504755379545728,57.23749155579294,23.856874540730196,6.446017129883963,6690.26416015625,0914-0130,90.56186170997994,5.828992,False,335.7693473065617,4211.860235955071,1671.4865991196853,846.0813045811512,113501.30379985948,12.459888257026757,2.5,,,Gaia DR3 66504755379545728,66504755379545728,6.385194,6.569959,6.0548434,0.51511574,6690.264,3.7043,11.594324054546425,48.0769414241189,-57.90327317993762,0.9815908,66504544921636736,56.65833333333333,24.178055555555556,Gaia DR3 66504755379545728,6690.26416015625,,,57.23749155579294,23.856874540730196,6.446017129883963,2.5,19.107822320206477,635.321188181776,2951.5949748986545,41.57802602144869,754.5036995107424,2722.1337228253974,10179.042065619473,10903.994362736878,843.3765697068627,1781.6334759419913,5955.923920128713,9147.49834244731,10576.777050197985
M45,Gaia DR3 66745617143891968,57.340716620829006,24.380752387790455,6.622445011579889,10631.9111328125,0914-0130,86.90876203169267,0.9209628,False,924.1490123283976,1530.287370875372,1492.0551900490595,947.829257124594,66076.18444346465,21.40277278847886,2.5,,,Gaia DR3 66745617143891968,66745617143891968,6.604883,6.5822644,6.6148195,-0.032555103,10631.911,4.0267,7.189385624305486,18.566769795996994,-45.34756663616908,0.9828397,66746441777612416,56.65833333333333,24.178055555555556,Gaia DR3 66745617143891968,10631.9111328125,,,57.340716620829006,24.380752387790455,6.622445011579889,2.5,1244.0476095867325,4449.112587454976,4931.958503798835,520.4874062436666,1014.8365146758672,3110.3883333096305,7487.303132816555,10849.76725732914,930.2621443702154,1644.599116196028,1690.453181973997,3074.9448901377823,4786.095679853874
M45,Gaia DR3 66789872486779520,56.747585269534376,24.51991333978582,6.820854387341837,9843.775390625,0914-0130,121.02597805585336,5.401657,False,842.745703697393,1678.1023696335576,1361.5357413787751,1038.6900023211842,60123.62336899795,23.5217620483984,2.5,,,Gaia DR3 66789872486779520,66789872486779520,6.8028107,6.802068,6.7674193,0.034648895,9843.775,3.9684,7.271150194177561,22.271845514767698,-47.52140397943802,0.92515117,66789185292165632,56.65833333333333,24.178055555555556,Gaia DR3 66789872486779520,9843.775390625,,,56.747585269534376,24.51991333978582,6.820854387341837,2.5,1036.2707761020054,3706.03610218644,4108.238645410289,473.8308069422058,925.5754848925984,2590.901270416917,6236.797827160534,9037.674000284906,848.6619102363129,1500.7811693967235,1408.1191245005723,2561.3774772112706,3986.737361529291
M45,Gaia DR3 66507469798631808,57.491988012399965,23.84848726390722,6.824923025338836,11050.8701171875,0914-0130,10.11130739065778,3.4282546,False,841.1523325682376,1681.2811516020715,1358.9818496291407,1040.6419796990128,60006.995663860456,23.567478203625733,2.5,,,Gaia DR3 66507469798631808,66507469798631808,6.806421,6.811625,6.7562876,0.05533743,11050.87,4.1342,7.389021187429237,18.377840455207256,-45.870328430863225,0.9739202,66507469798632320,56.65833333333333,24.178055555555556,Gaia DR3 66507469798631808,11050.8701171875,,,57.491988012399965,23.84848726390722,6.824923025338836,2.5,1032.3947695012814,3692.174261511333,4092.8724298668417,472.91685195311464,923.8284308316928,2581.2104148436906,6213.470073350487,9003.870013056718,847.0650081650487,1497.9671090302056,1402.8522780864523,2551.7970507073396,3971.82560228161
M45,Gaia DR3 66729880383767168,56.87281395748792,24.288130246334337,6.835965428623025,11108.8125,0914-0130,187.58585393216123,4.8738127,False,836.8427480035426,1689.9394369455758,1352.074532252525,1045.9582875339336,59691.52943445905,23.692030942612945,2.5,,,Gaia DR3 66729880383767168,66729880383767168,6.815936,6.841812,6.7403946,0.10141754,11108.8125,4.1204,7.230057778664303,18.551020432929977,-46.92179879334844,1.1449239,66730052182455936,56.65833333333333,24.178055555555556,Gaia DR3 66729880383767168,11108.8125,,,56.87281395748792,24.288130246334337,6.835965428623025,2.5,1021.94808519209,3654.813573464488,4051.4571229941935,470.4447330842233,919.103206477914,2555.0914425899905,6150.5966820485755,8912.760884682466,842.745941803879,1490.3561428359271,1388.656976720601,2525.9757089131126,3931.6351543793567
