pl_name,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_vmag,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,cluster,nn_source_id,nn_sep_arcsec,nn_dG,vis_waltzer_2026,cluster_center_ra,cluster_center_dec
Gaia DR3 64956127609464320,2.5,10084.2705078125,,,56.45349543711508,23.14694333291917,6.913060260952074,Gaia DR3 64956127609464320,64956127609464320,6.895188,6.892908,6.8683395,0.024568558,10084.2705,4.0404,7.4211396976655095,20.513910371784853,-45.699760208111584,1.0942224,M45,64861737110747264,262.8745899062215,5.376966,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65010690873940480,2.5,6112.2216796875,,,56.82126025036113,23.726630871297488,6.953147309713995,Gaia DR3 65010690873940480,65010690873940480,6.8663635,7.1205883,6.447036,0.6735525,6112.2217,3.8669,15.064495732715876,-34.22966447067361,-26.459941776415953,1.006565,M45,65010549138050944,66.42275977374695,5.3495827,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65017627244152064,2.5,10023.58984375,,,56.837462886443596,23.803141100251725,7.015804680847438,Gaia DR3 65017627244152064,65017627244152064,6.997606,7.002589,6.9601827,0.04240656,10023.59,4.1433,7.312944753255134,19.09568001950756,-45.519794998351045,1.0218508,M45,65017837699513216,87.67191986050022,3.676186,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65207709611941376,2.5,10295.369140625,,,56.85182143112869,23.9144778917631,7.304697527450096,Gaia DR3 65207709611941376,65207709611941376,7.286501,7.291563,7.249264,0.04229927,10295.369,4.1635,7.220987406121659,20.049108040161617,-44.13258985442616,1.0006701,M45,65207709613871744,6.274134379970102,2.452818,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68388528032874112,2.5,4760.95263671875,,,55.325373283529316,25.008245797308668,7.351296902689028,Gaia DR3 68388528032874112,68388528032874112,7.1113486,7.7436213,6.347641,1.3959804,4760.9526,2.5976,5.069243235577758,13.028674310475537,18.363047693241732,1.0652125,M45,68384228769598592,398.0499403750846,4.562676,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65231486552803328,2.5,9796.7109375,,,56.61376023966258,24.254800329035454,7.374356318325649,Gaia DR3 65231486552803328,65231486552803328,7.352819,7.3912015,7.2568383,0.13436317,9796.711,4.1542,7.345983258822864,20.450350564327135,-44.64674558353142,1.0897243,M45,66733281997873792,311.03367673597046,3.0918202,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69877988331531904,2.5,10265.265625,,,55.930098933897625,25.08049424832434,7.537358587398611,Gaia DR3 69877988331531904,69877988331531904,7.512999,7.5678377,7.385068,0.18276978,10265.266,4.3878,8.126112789370953,22.197434403671693,-52.654042306816265,0.947698,M45,69876712724339456,283.42822584376063,3.9210372,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66746441777612416,2.5,10021.97265625,,,57.32010689706659,24.39593347467187,7.547309580894937,Gaia DR3 66746441777612416,66746441777612416,7.525846,7.5613523,7.4284444,0.13290787,10021.973,4.2846,7.012849082916408,19.735690455662137,-44.081448971829964,0.880397,M45,66746544856822016,69.76733300957721,4.1304927,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66558249192653952,2.5,9724.36328125,,,57.48590927641627,24.348794070150266,7.565590285591882,Gaia DR3 66558249192653952,66558249192653952,7.546007,7.565866,7.475968,0.08989811,9724.363,4.2866,7.315576014582632,19.505374073802887,-44.599599471397354,0.8341919,M45,66558249192655104,39.39297478822565,4.9262943,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65005880510573696,2.5,4882.51611328125,,,56.90428209463799,23.608852238285635,7.649721736258242,Gaia DR3 65005880510573696,65005880510573696,7.406279,8.046225,6.6345053,1.4117193,4882.516,2.713,5.20346122037071,56.306846496251495,-59.33104041963406,0.9510057,M45,64993270486684416,244.47048084874433,1.0189548,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65007083101413888,2.5,9649.068359375,,,56.861890197773505,23.678126852419382,7.773573824730642,Gaia DR3 65007083101413888,65007083101413888,7.7467694,7.8123984,7.595021,0.21737766,9649.068,4.3361,7.472988365635405,21.72387551654079,-45.70969458878078,1.009509,M45,65010690873940480,220.06209897772519,-0.8804059,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65221487868870784,2.5,9835.4453125,,,56.46524526083272,24.03867637774549,7.864423919514054,Gaia DR3 65221487868870784,65221487868870784,7.8336287,7.920607,7.654846,0.2657609,9835.445,4.3391,7.295877939593721,19.8061014454413,-45.00296374339572,1.3362249,M45,65218601651442688,170.79319336113613,2.9436703,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66555985749157760,2.5,8169.57568359375,,,57.35836849831732,24.24749646235856,7.983821885118714,Gaia DR3 66555985749157760,66555985749157760,7.9557376,8.027872,7.794085,0.23378706,8169.5757,4.2193,7.454869915597753,21.248523208475092,-46.07484917184325,1.0117768,M45,66533170882791040,199.5934620368144,3.8675141,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64136922728171008,2.5,12712.818359375,,,57.2279862927018,22.799179926606183,8.114527478037974,Gaia DR3 64136922728171008,64136922728171008,8.095024,8.111139,8.023424,0.08771515,12712.818,3.8803,2.581737769747386,6.0214720810366575,-6.04127941150133,1.353362,M45,64131940566116736,201.58293980342256,4.313464,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64929391436043264,2.5,7857.28466796875,,,57.42060476339698,23.341369648361887,8.125782502887883,Gaia DR3 64929391436043264,64929391436043264,8.094326,8.184235,7.9111433,0.27309132,7857.2847,4.2211,7.3159120319680895,18.7330771968439,-45.13349681432525,1.2130493,M45,64930495244783616,179.67892955717787,0.94054794,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66506331628024832,2.5,7732.958984375,,,57.3008750959372,23.886587601561303,8.135317450657928,Gaia DR3 66506331628024832,66506331628024832,8.101668,8.198534,7.902198,0.29633617,7732.959,4.1525,7.417763214315631,19.620728847184104,-45.17323902020466,1.0928063,M45,66505545653294464,73.77240803074147,3.8351154,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65292234570088064,2.5,7262.96630859375,,,56.10725957131531,24.394496851857834,8.164915269597714,Gaia DR3 65292234570088064,65292234570088064,8.121808,8.253396,7.86998,0.38341618,7262.9663,4.1259,8.02785908082978,21.95042265441983,-49.20267411149293,0.9579118,M45,65293089266213632,115.88231345932323,2.199607,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68293729514855040,2.5,7700.830078125,,,55.930266895087854,24.374390241889614,8.237352256745528,Gaia DR3 68293729514855040,68293729514855040,8.198288,8.314782,7.966471,0.34831095,7700.83,4.1643,7.41282032449915,19.47970969626966,-40.04826146758642,1.0340874,M45,68297406006861824,356.5829225327985,3.6675997,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66715273197982848,2.5,7574.09326171875,,,56.83070036887997,24.138920132623063,8.283592157537,Gaia DR3 66715273197982848,66715273197982848,8.243902,8.362129,8.008208,0.35392094,7574.0933,4.1349,7.269312246192696,19.017069653993058,-43.927570681464154,0.874114,M45,66715105696289024,85.47666239017553,-1.9450722,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69948253997063424,2.5,7802.6982421875,,,56.94524283764543,25.38549346832899,8.308114534404956,Gaia DR3 69948253997063424,69948253997063424,8.26957,8.384363,8.040771,0.34359264,7802.698,4.1893,7.2009784966893235,19.422889821125843,-45.7770402267978,0.82473665,M45,69948116558111488,134.75534405056098,3.1661854,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65212107660378880,2.5,7200.1181640625,,,56.767658409458,23.995012914402537,8.378629594860955,Gaia DR3 65212107660378880,65212107660378880,8.332108,8.471214,8.059982,0.411232,7200.118,4.1297,7.401981307676885,21.32317472970832,-45.436982058241185,0.8982019,M45,65210630191630976,68.12870942780275,3.104556,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64933759417769984,2.5,7409.12939453125,,,57.18299036630866,23.2596150203104,8.380184742162061,Gaia DR3 64933759417769984,64933759417769984,8.33693,8.461256,8.076609,0.38464737,7409.1294,4.1633,7.318904571155356,19.293731697883047,-44.88499205938077,1.3925788,M45,64936125944766208,154.217403253776,3.6326246,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65296357738731008,2.5,7186.67578125,,,56.39368645440966,24.463106878376045,8.608284724556102,Gaia DR3 65296357738731008,65296357738731008,8.54996,8.726979,8.228857,0.49812222,7186.676,4.1358,7.351642646560689,18.45262299245357,-46.101289273382704,1.2320466,M45,66797878305841920,135.07812186807962,3.3217897,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64955302975741312,2.5,5877.5009765625,,,56.55297221507895,23.128317797691857,8.650455533961749,Gaia DR3 64955302975741312,64955302975741312,8.549534,8.8397875,8.08927,0.75051785,5877.501,4.1962,12.547508504069521,21.442002000771755,-49.60079989782387,0.95944047,M45,64957089682129536,309.46646411672685,2.7923088,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64993270486684416,2.5,5481.53955078125,,,56.92530593390367,23.54373489994494,8.66453707034818,Gaia DR3 64993270486684416,64993270486684416,8.425234,9.050472,7.6573925,1.3930798,5481.5396,2.7809,2.8813346159520785,-4.040799191002089,-22.589407729041902,0.8875545,M45,64992067895753600,225.78656127902016,1.4968843,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69925297395123456,2.5,6413.70361328125,,,56.38630430300657,25.61092540526665,8.66554526816876,Gaia DR3 69925297395123456,69925297395123456,8.585483,8.820808,8.185751,0.63505745,6413.7036,3.936,6.424566009988169,-8.143315293171511,-22.76064280563444,0.95251375,M45,69922243674432896,177.01882864045598,1.4029465,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64923520217910144,2.5,5020.17529296875,,,57.29459114522734,23.26716245860921,8.740094779152322,Gaia DR3 64923520217910144,64923520217910144,8.387087,9.381275,7.409191,1.972084,5020.1753,1.8151,0.9595622875759316,-4.815445154002914,-2.1243153545447986,0.99418205,M45,64923279699744256,126.93537723893651,3.0861988,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66657415696297344,2.5,6708.833984375,,,57.86348961016656,24.518448754707425,8.833279955667797,Gaia DR3 66657415696297344,66657415696297344,8.769578,8.962629,8.428415,0.534214,6708.834,4.1336,7.251437641917489,19.74663141605784,-45.451294562195194,0.93897635,M45,66657828012449536,162.0559258319352,2.7304726,0914-0130,56.65833333333333,24.178055555555556
